Ion	A	a	B	b	C	c	D
Sc0	0.2512	90.0296	0.3290	39.4021	0.4235	14.3222	-0.0043
Sc1	0.4889	51.1603	0.5203	14.0764	-0.0286	0.1792	0.0185
Sc2	0.5048	31.4035	0.5186	10.9897	-0.0241	1.1831	0.0000
Ti0	0.4657	33.5898	0.5490	9.8791	-0.0291	0.3232	0.0123
Ti1	0.5093	36.7033	0.5032	10.3713	-0.0263	0.3106	0.0116
Ti2	0.5091	24.9763	0.5162	8.7569	-0.0281	0.9160	0.0015
Ti3	0.3571	22.8413	0.6688	8.9306	-0.0354	0.4833	0.0099
V0	0.4086	28.8109	0.6077	8.5437	-0.0295	0.2768	0.0123
V1	0.4444	32.6479	0.5683	9.0971	-0.2285	0.0218	0.2150
V2	0.4085	23.8526	0.6091	8.2456	-0.1676	0.0415	0.1496
V3	0.3598	19.3364	0.6632	7.6172	-0.3064	0.0296	0.2835
V4	0.3106	16.8160	0.7198	7.0487	-0.0521	0.3020	0.0221
Cr0	0.1135	45.1990	0.3481	19.4931	0.5477	7.3542	-0.0092
Cr1	-0.0977	0.0470	0.4544	26.0054	0.5579	7.4892	0.0831
Cr2	1.2024	-0.0055	0.4158	20.5475	0.6032	6.9560	-1.2218
Cr3	-0.3094	0.0274	0.3680	17.0355	0.6559	6.5236	0.2856
Cr4	-0.2320	0.0433	0.3101	14.9518	0.7182	6.1726	0.2042
Mn0	0.2438	24.9629	0.1472	15.6728	0.6189	6.5403	-0.0105
Mn1	-0.0138	0.4213	0.4231	24.6680	0.5905	6.6545	-0.0010
Mn2	0.4220	17.6840	0.5948	6.0050	0.0043	-0.6090	-0.0219
Mn3	0.4198	14.2829	0.6054	5.4689	0.9241	-0.0088	-0.9498
Mn4	0.3760	12.5661	0.6602	5.1329	-0.0372	0.5630	0.0011
Fe0	0.0706	35.0085	0.3589	15.3583	0.5819	5.5606	-0.0114
Fe1	0.1251	34.9633	0.3629	15.5144	0.5223	5.5914	-0.0105
Fe2	0.0263	34.9597	0.3668	15.9435	0.6188	5.5935	-0.0119
Fe3	0.3972	13.2442	0.6295	4.9034	-0.0314	0.3496	0.0044
Fe4	0.3782	11.3800	0.6556	4.5920	-0.0346	0.4833	0.0005
Co0	0.4139	16.1616	0.6013	4.7805	-0.1518	0.0210	0.1345
Co1	0.0990	33.1252	0.3645	15.1768	0.5470	5.0081	-0.0109
Co2	0.4332	14.3553	0.5857	4.6077	-0.0382	0.1338	0.0179
Co3	0.3902	12.5078	0.6324	4.4574	-0.1500	0.0343	0.1272
Co4	0.3515	10.7785	0.6778	4.2343	-0.0389	0.2409	0.0098
Ni0	-0.0172	35.7392	0.3174	14.2689	0.7136	4.5661	-0.0143
Ni1	0.0705	35.8561	0.3984	13.8042	0.5427	4.3965	-0.0118
Ni2	0.0163	35.8826	0.3916	13.2233	0.6052	4.3388	-0.0133
Ni3	-0.0134	35.8677	0.2678	12.3326	0.7614	4.2369	-0.0162
Ni4	-0.0090	35.8614	0.2776	11.7904	0.7474	4.2011	-0.0163
Cu0	0.0909	34.9838	0.4088	11.4432	0.5128	3.8248	-0.0124
Cu1	0.0749	34.9656	0.4147	11.7642	0.5238	3.8497	-0.0127
Cu2	0.0232	34.9686	0.4023	11.5640	0.5882	3.8428	-0.0137
Cu3	0.0031	34.9074	0.3582	10.9138	0.6531	3.8279	-0.0147
Cu4	-0.0132	30.6817	0.2801	11.1626	0.7490	3.8172	-0.0165
Y0	0.5915	67.6081	1.5123	17.9004	-1.1130	14.1359	0.0080
Zr0	0.4106	59.9961	1.0543	18.6476	-0.4751	10.5400	0.0106
Zr1	0.4532	59.5948	0.7834	21.4357	-0.2451	9.0360	0.0098
Nb0	0.3946	49.2297	1.3197	14.8216	-0.7269	9.6156	0.0129
Nb1	0.4572	49.9182	1.0274	15.7256	-0.4962	9.1573	0.0118
Mo0	0.1806	49.0568	1.2306	14.7859	-0.4268	6.9866	0.0171
Mo1	0.3500	48.0354	1.0305	15.0604	-0.3929	7.4790	0.0139
Tc0	0.1298	49.6611	1.1656	14.1307	-0.3134	5.5129	0.0195
Tc1	0.2674	48.9566	0.9569	15.1413	-0.2387	5.4578	0.0160
Ru0	0.1069	49.4238	1.1912	12.7417	-0.3176	4.9125	0.0213
Ru1	0.4410	33.3086	1.4775	9.5531	-0.9361	6.7220	0.0176
Rh0	0.0976	49.8825	1.1601	11.8307	-0.2789	4.1266	0.0234
Rh1	0.3342	29.7564	1.2209	9.4384	-0.5755	5.3320	0.0210
Pd0	0.2003	29.3633	1.1446	9.5993	-0.3689	4.0423	0.0251
Pd1	0.5033	24.5037	1.9982	6.9082	-1.5240	5.5133	0.0213
Ce2	0.2953	17.6846	0.2923	6.7329	0.4313	5.3827	-0.0194
Nd2	0.1645	25.0453	0.2522	11.9782	0.6012	4.9461	-0.0180
Nd3	0.0540	25.0293	0.3101	12.1020	0.6575	4.7223	-0.0216
Sm2	0.0909	25.2032	0.3037	11.8562	0.6250	4.2366	-0.0200
Sm3	0.0288	25.2068	0.2973	11.8311	0.6954	4.2117	-0.0213
Eu2	0.0755	25.2960	0.3001	11.5993	0.6438	4.0252	-0.0196
Eu3	0.0204	25.3078	0.3010	11.4744	0.7005	3.9420	-0.0220
Gd2	0.0636	25.3823	0.3033	11.2125	0.6528	3.7877	-0.0199
Gd3	0.0186	25.3867	0.2895	11.1421	0.7135	3.7520	-0.0217
Tb2	0.0547	25.5086	0.3171	10.5911	0.6490	3.5171	-0.0212
Tb3	0.0177	25.5095	0.2921	10.5769	0.7133	3.5122	-0.0231
Dy2	0.1308	18.3155	0.3118	7.6645	0.5795	3.1469	-0.0226
Dy3	0.1157	15.0732	0.3270	6.7991	0.5821	3.0202	-0.0249
Ho2	0.0995	18.1761	0.3305	7.8556	0.5921	2.9799	-0.0230
Ho3	0.0566	18.3176	0.3365	7.6880	0.6317	2.9427	-0.0248
Er2	0.1122	18.1223	0.3462	6.9106	0.5649	2.7614	-0.0235
Er3	0.0586	17.9802	0.3540	7.0964	0.6126	2.7482	-0.0251
Tm2	0.0983	18.3236	0.3380	6.9178	0.5875	2.6622	-0.0241
Tm3	0.0581	15.0922	0.2787	7.8015	0.6854	2.7931	-0.0224
Yb2	0.0855	18.5123	0.2943	7.3734	0.6412	2.6777	-0.0213
Yb3	0.0416	16.0949	0.2849	7.8341	0.6961	2.6725	-0.0229
Pr3	0.0504	24.9989	0.2572	12.0377	0.7142	5.0039	-0.0219
U3	0.5058	23.2882	1.3464	7.0028	-0.8724	4.8683	0.0192
U4	0.3291	23.5475	1.0836	8.4540	-0.4340	4.1196	0.0214
U5	0.3650	19.8038	3.2199	6.2818	-2.6077	5.3010	0.0233
Np3	0.5157	20.8654	2.2784	5.8930	-1.8163	4.8457	0.0211
Np4	0.4206	19.8046	2.8004	5.9783	-2.2436	4.9848	0.0228
Np5	0.3692	18.1900	3.1510	5.8500	-2.5446	4.9164	0.0248
Np6	0.2929	17.5611	3.4866	5.7847	-2.8066	4.8707	0.0267
Pu3	0.3840	16.6793	3.1049	5.4210	-2.5148	4.5512	0.0263
Pu4	0.4934	16.8355	1.6394	5.6384	-1.1581	4.1399	0.0248
Pu5	0.3888	16.5592	2.0362	5.6567	-1.4515	4.2552	0.0267
Pu6	0.3172	16.0507	3.4654	5.3507	-2.8102	4.5133	0.0281
Am2	0.4743	21.7761	1.5800	5.6902	-1.0779	4.1451	0.0218
Am3	0.4239	19.5739	1.4573	5.8722	-0.9052	3.9682	0.0238
Am4	0.3737	17.8625	1.3521	6.0426	-0.7514	3.7199	0.0258
Am5	0.2956	17.3725	1.4525	6.0734	-0.7755	3.6619	0.0277
Am6	0.2302	16.9533	1.4864	6.1159	-0.7457	3.5426	0.0294
Am7	0.3601	12.7299	1.9640	5.1203	-1.3560	3.7142	0.0316
